id,date,vendor,currency,amount,due_date,description
INV-1001,2024-01-03,Northwind Supplies,USD,120.00,2024-02-02,Northwind Supplies monthly services
INV-1002,2024-01-05,Blue Harbor Logistics,USD,155.00,2024-02-04,Blue Harbor Logistics monthly services
INV-1003,2024-01-07,Cedar Office Co,USD,190.00,2024-02-06,Cedar Office Co monthly services
INV-1004,2024-01-09,Vertex Utilities,USD,225.00,2024-02-08,Vertex Utilities monthly services
INV-1005,2024-01-11,Summit IT Services,USD,260.00,2024-02-10,Summit IT Services monthly services
INV-1006,2024-01-13,Oak & Pine Manufacturing,USD,295.00,2024-02-12,Oak & Pine Manufacturing monthly services
INV-1007,2024-01-15,Metro Cleaning,USD,330.00,2024-02-14,Metro Cleaning monthly services
INV-1008,2024-01-17,BrightPath Consulting,USD,365.00,2024-02-16,BrightPath Consulting monthly services
INV-1009,2024-01-19,Redwood Telecom,USD,400.00,2024-02-18,Redwood Telecom monthly services
INV-1010,2024-01-21,Lumen Print Studio,USD,435.00,2024-02-20,Lumen Print Studio monthly services
INV-1011,2024-01-23,Northwind Supplies,USD,140.00,2024-02-22,Northwind Supplies monthly services
INV-1012,2024-01-25,Blue Harbor Logistics,USD,175.00,2024-02-24,Blue Harbor Logistics monthly services
INV-1013,2024-01-27,Cedar Office Co,USD,210.00,2024-02-26,Cedar Office Co monthly services
INV-1014,2024-01-29,Vertex Utilities,USD,245.00,2024-02-28,Vertex Utilities monthly services
INV-1015,2024-01-31,Summit IT Services,USD,280.00,2024-03-01,Summit IT Services monthly services
INV-1016,2024-02-02,Oak & Pine Manufacturing,USD,315.00,2024-03-03,Oak & Pine Manufacturing monthly services
INV-1017,2024-02-04,Metro Cleaning,USD,350.00,2024-03-05,Metro Cleaning monthly services
INV-1018,2024-02-06,BrightPath Consulting,USD,385.00,2024-03-07,BrightPath Consulting monthly services
INV-1019,2024-02-08,Redwood Telecom,USD,420.00,2024-03-09,Redwood Telecom monthly services
INV-1020,2024-02-10,Lumen Print Studio,USD,455.00,2024-03-11,Lumen Print Studio monthly services
INV-1021,2024-02-12,Northwind Supplies,USD,160.00,2024-03-13,Northwind Supplies monthly services
INV-1022,2024-02-14,Blue Harbor Logistics,USD,195.00,2024-03-15,Blue Harbor Logistics monthly services
INV-1023,2024-02-16,Cedar Office Co,USD,230.00,2024-03-17,Cedar Office Co monthly services
INV-1024,2024-02-18,Vertex Utilities,USD,265.00,2024-03-19,Vertex Utilities monthly services
INV-1025,2024-02-20,Summit IT Services,USD,300.00,2024-03-21,Summit IT Services monthly services
INV-1026,2024-02-22,Oak & Pine Manufacturing,USD,335.00,2024-03-23,Oak & Pine Manufacturing monthly services
INV-1027,2024-02-24,Metro Cleaning,USD,370.00,2024-03-25,Metro Cleaning monthly services
INV-1028,2024-02-26,BrightPath Consulting,USD,405.00,2024-03-27,BrightPath Consulting monthly services
INV-1029,2024-02-28,Redwood Telecom,USD,440.00,2024-03-29,Redwood Telecom monthly services
INV-1030,2024-03-01,Lumen Print Studio,USD,475.00,2024-03-31,Lumen Print Studio monthly services
INV-1031,2024-03-03,Northwind Supplies,USD,180.00,2024-04-02,Northwind Supplies monthly services
INV-1032,2024-03-05,Blue Harbor Logistics,USD,215.00,2024-04-04,Blue Harbor Logistics monthly services
INV-1033,2024-03-07,Cedar Office Co,USD,250.00,2024-04-06,Cedar Office Co monthly services
INV-1034,2024-03-09,Vertex Utilities,USD,285.00,2024-04-08,Vertex Utilities monthly services
INV-1035,2024-03-11,Summit IT Services,USD,320.00,2024-04-10,Summit IT Services monthly services
INV-1036,2024-03-13,Oak & Pine Manufacturing,USD,355.00,2024-04-12,Oak & Pine Manufacturing monthly services
INV-1037,2024-03-15,Metro Cleaning,USD,390.00,2024-04-14,Metro Cleaning monthly services
INV-1038,2024-03-17,BrightPath Consulting,USD,425.00,2024-04-16,BrightPath Consulting monthly services
INV-1039,2024-03-19,Redwood Telecom,USD,460.00,2024-04-18,Redwood Telecom monthly services
INV-1040,2024-03-21,Lumen Print Studio,USD,495.00,2024-04-20,Lumen Print Studio monthly services
INV-1041,2024-03-23,Northwind Supplies,USD,200.00,2024-04-22,Northwind Supplies monthly services
INV-1042,2024-03-25,Blue Harbor Logistics,USD,235.00,2024-04-24,Blue Harbor Logistics monthly services
INV-1043,2024-03-27,Cedar Office Co,USD,270.00,2024-04-26,Cedar Office Co monthly services
INV-1044,2024-03-29,Vertex Utilities,USD,305.00,2024-04-28,Vertex Utilities monthly services
INV-1045,2024-03-31,Summit IT Services,USD,340.00,2024-04-30,Summit IT Services monthly services
INV-1046,2024-04-02,Oak & Pine Manufacturing,USD,375.00,2024-05-02,Oak & Pine Manufacturing monthly services
INV-1047,2024-04-04,Metro Cleaning,USD,410.00,2024-05-04,Metro Cleaning monthly services
INV-1048,2024-04-06,BrightPath Consulting,USD,445.00,2024-05-06,BrightPath Consulting monthly services
INV-1049,2024-04-08,Redwood Telecom,USD,480.00,2024-05-08,Redwood Telecom monthly services
INV-1050,2024-04-10,Lumen Print Studio,USD,515.00,2024-05-10,Lumen Print Studio monthly services
